  t, c   	 X0[0]  	 X0[1]  	 X0[2]  	 X0[3]  	 X0[4]  	 X0[5]  	 X0[6]  	 X0[7]  	 X0[8]  	 X0[9]  	 X0[10]  	 X0[11]  	 V[0]   	 V[1]   	 V[2]   	 Om[0]  	 Om[1]  	 Om[2]  	 Vc[0]  	 Vc[1]  	 Vc[2]  	 Amp[0][0] 	 Amp[0][1] 	 Amp[0][2] 	 Amp[1][0] 	 Amp[1][1] 	 Amp[1][2] 	 Amp[2][0] 	 Amp[2][1] 	 Amp[2][2] 	 Amp[3][0] 	 Amp[3][1] 	 Amp[3][2] 	 Amp[4][0] 	 Amp[4][1] 	 Amp[4][2] 	 Amp[5][0] 	 Amp[5][1] 	 Amp[5][2] 	teta,град	psi, град	fi, град 
0,185000	4,785956	297,601349	0,001342	1,000000	0,000580	-0,000003	-0,000580	1,000000	0,000003	0,000003	-0,000003	1,000000	27,694548	0,028410	0,012062	-0,000018	-0,000035	-0,012768	27,694551	0,012342	0,012130	-0,094218	0,021326	0,012096	-0,094239	0,021337	0,012096	-0,094261	0,021348	0,012096	-0,094415	0,021426	0,012096	-0,094437	0,021438	0,012096	-0,094458	0,021448	0,012096	-0,033222	-0,000159	-0,000179
0,190000	4,924428	297,601411	0,001402	1,000000	0,000644	-0,000003	-0,000644	1,000000	0,000003	0,000003	-0,000003	1,000000	27,694304	0,029948	0,011814	-0,000015	-0,000036	-0,012764	27,694366	0,012169	0,011944	-0,094455	0,022877	0,011847	-0,094476	0,022885	0,011847	-0,094499	0,022895	0,011847	-0,094658	0,022960	0,011847	-0,094681	0,022969	0,011847	-0,094702	0,022978	0,011847	-0,036879	-0,000169	-0,000183
0,195000	5,062898	297,601470	0,001460	1,000000	0,000707	-0,000003	-0,000707	1,000000	0,000003	0,000003	-0,000003	1,000000	27,693566	0,030991	0,011073	-0,000013	-0,000037	-0,012758	27,693673	0,011489	0,011251	-0,095182	0,023928	0,011105	-0,095205	0,023936	0,011105	-0,095229	0,023945	0,011105	-0,095393	0,024004	0,011105	-0,095417	0,024013	0,011105	-0,095440	0,024021	0,011105	-0,040535	-0,000180	-0,000187
0,200000	5,201363	297,601524	0,001513	1,000000	0,000771	-0,000003	-0,000771	1,000000	0,000003	0,000003	-0,000003	1,000000	27,682128	0,031653	0,009939	-0,000013	-0,000039	-0,014189	27,691988	0,010409	0,010156	-0,107860	0,023803	0,009973	-0,107883	0,023811	0,009973	-0,107908	0,023820	0,009973	-0,108082	0,023879	0,009973	-0,108107	0,023887	0,009973	-0,108130	0,023895	0,009973	-0,044194	-0,000191	-0,000191
0,205000	5,339731	297,601572	0,001560	1,000000	0,000848	-0,000004	-0,000848	1,000000	0,000003	0,000004	-0,000003	1,000000	27,672129	0,032559	0,008701	-0,000014	-0,000041	-0,015282	27,672266	0,009221	0,008918	-0,118802	0,024106	0,008736	-0,118827	0,024114	0,008736	-0,118853	0,024123	0,008736	-0,119035	0,024184	0,008736	-0,119062	0,024193	0,008736	-0,119086	0,024202	0,008736	-0,048566	-0,000202	-0,000195
0,210000	5,478089	297,601615	0,001601	1,000000	0,000924	-0,000004	-0,000924	1,000000	0,000003	0,000004	-0,000003	1,000000	27,671033	0,033597	0,007602	-0,000013	-0,000043	-0,015274	27,671150	0,008123	0,007802	-0,119885	0,025152	0,007637	-0,119911	0,025159	0,007637	-0,119938	0,025168	0,007637	-0,120127	0,025225	0,007637	-0,120154	0,025233	0,007637	-0,120180	0,025241	0,007637	-0,052942	-0,000214	-0,000199
0,215000	5,616442	297,601653	0,001638	0,999999	0,001000	-0,000004	-0,001000	0,999999	0,000004	0,000004	-0,000004	1,000000	27,670332	0,035029	0,006897	-0,000010	-0,000044	-0,015266	27,670402	0,007395	0,007055	-0,120577	0,026597	0,006930	-0,120603	0,026603	0,006930	-0,120631	0,026610	0,006930	-0,120824	0,026655	0,006930	-0,120852	0,026661	0,006930	-0,120878	0,026667	0,006930	-0,057317	-0,000227	-0,000202
0,220000	5,754792	297,601689	0,001672	0,999999	0,001077	-0,000004	-0,001077	0,999999	0,000004	0,000004	-0,000004	1,000000	27,659767	0,036915	0,006638	-0,000006	-0,000044	-0,016700	27,669518	0,007120	0,006761	-0,132386	0,027712	0,006667	-0,132413	0,027715	0,006667	-0,132441	0,027718	0,006667	-0,132637	0,027743	0,006667	-0,132666	0,027746	0,006667	-0,132692	0,027750	0,006667	-0,061694	-0,000239	-0,000205
0,225000	5,893052	297,601725	0,001706	0,999999	0,001166	-0,000004	-0,001166	0,999999	0,000004	0,000004	-0,000004	1,000000	27,651154	0,039559	0,006786	0,000000	-0,000045	-0,017796	27,651153	0,007296	0,006879	-0,141951	0,029773	0,006810	-0,141978	0,029772	0,006810	-0,142007	0,029772	0,006810	-0,142205	0,029770	0,006810	-0,142233	0,029770	0,006810	-0,142260	0,029769	0,006810	-0,066786	-0,000252	-0,000205
0,230000	6,031308	297,601763	0,001741	0,999999	0,001255	-0,000005	-0,001255	0,999999	0,000004	0,000005	-0,000004	1,000000	27,651469	0,042359	0,007098	0,000008	-0,000045	-0,017790	27,651469	0,007634	0,007195	-0,141632	0,032602	0,007116	-0,141659	0,032597	0,007116	-0,141688	0,032592	0,007116	-0,141885	0,032557	0,007116	-0,141914	0,032552	0,007116	-0,141941	0,032547	0,007116	-0,071883	-0,000265	-0,000204
0,235000	6,169566	297,601802	0,001778	0,999999	0,001344	-0,000005	-0,001344	0,999999	0,000004	0,000005	-0,000004	1,000000	27,651713	0,045088	0,007339	0,000015	-0,000045	-0,017785	27,651733	0,007920	0,007458	-0,141383	0,035359	0,007351	-0,141410	0,035350	0,007351	-0,141439	0,035340	0,007351	-0,141637	0,035273	0,007351	-0,141665	0,035264	0,007351	-0,141692	0,035255	0,007351	-0,076979	-0,000278	-0,000201
0,240000	6,307824	297,601842	0,001815	0,999999	0,001433	-0,000005	-0,001433	0,999999	0,000003	0,000005	-0,000003	1,000000	27,641297	0,047477	0,007231	0,000021	-0,000046	-0,019216	27,651087	0,007887	0,007401	-0,153042	0,036980	0,007238	-0,153069	0,036967	0,007238	-0,153098	0,036954	0,007238	-0,153300	0,036862	0,007238	-0,153329	0,036849	0,007238	-0,153357	0,036836	0,007238	-0,082078	-0,000291	-0,000196
0,245000	6,445990	297,601880	0,001851	0,999999	0,001534	-0,000005	-0,001534	0,999999	0,000003	0,000005	-0,000003	1,000000	27,631979	0,049768	0,006675	0,000024	-0,000047	-0,020308	27,632097	0,007452	0,006896	-0,163305	0,038682	0,006680	-0,163333	0,038668	0,006680	-0,163363	0,038652	0,006680	-0,163571	0,038544	0,006680	-0,163601	0,038528	0,006680	-0,163629	0,038514	0,006680	-0,087890	-0,000304	-0,000189
0,250000	6,584148	297,601915	0,001883	0,999999	0,001635	-0,000006	-0,001635	0,999999	0,000003	0,000006	-0,000003	1,000000	27,630965	0,051592	0,005660	0,000027	-0,000049	-0,020297	27,631131	0,006517	0,005931	-0,164303	0,040521	0,005664	-0,164332	0,040505	0,005664	-0,164363	0,040488	0,005664	-0,164578	0,040369	0,005664	-0,164609	0,040352	0,005664	-0,164638	0,040336	0,005664	-0,093706	-0,000318	-0,000182
0,255000	6,722300	297,601944	0,001909	0,999998	0,001737	-0,000006	-0,001737	0,999998	0,000003	0,000006	-0,000003	1,000000	27,629702	0,053165	0,004395	0,000028	-0,000050	-0,020284	27,629882	0,005300	0,004684	-0,165550	0,042105	0,004398	-0,165580	0,042088	0,004398	-0,165612	0,042070	0,004398	-0,165835	0,041946	0,004398	-0,165867	0,041928	0,004398	-0,165898	0,041911	0,004398	-0,099519	-0,000332	-0,000174
0,260000	6,860445	297,601966	0,001928	0,999998	0,001838	-0,000006	-0,001838	0,999998	0,000003	0,000006	-0,000003	1,000000	27,618110	0,054728	0,003111	0,000029	-0,000053	-0,021711	27,628005	0,004047	0,003400	-0,178375	0,042887	0,003115	-0,178407	0,042870	0,003115	-0,178441	0,042851	0,003115	-0,178673	0,042723	0,003115	-0,178707	0,042704	0,003115	-0,178738	0,042687	0,003115	-0,105333	-0,000347	-0,000166
0,265000	6,998493	297,601984	0,001942	0,999998	0,001952	-0,000006	-0,001952	0,999998	0,000003	0,000006	-0,000003	1,000000	27,608353	0,056931	0,002119	0,000031	-0,000054	-0,022800	27,608491	0,003106	0,002372	-0,189073	0,044497	0,002122	-0,189106	0,044478	0,002122	-0,189141	0,044459	0,002122	-0,189381	0,044323	0,002122	-0,189416	0,044303	0,002122	-0,189448	0,044285	0,002122	-0,111859	-0,000362	-0,000157
0,270000	7,136533	297,601997	0,001952	0,999998	0,002066	-0,000007	-0,002066	0,999998	0,000003	0,000007	-0,000003	1,000000	27,607807	0,059573	0,001573	0,000035	-0,000056	-0,022789	27,607904	0,002557	0,001787	-0,189605	0,047159	0,001573	-0,189639	0,047138	0,001573	-0,189674	0,047116	0,001573	-0,189920	0,046963	0,001573	-0,189955	0,046941	0,001573	-0,189989	0,046920	0,001573	-0,118389	-0,000378	-0,000148
